Steel,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,x,
h from slope,17.59447044,14.38969427,18.28891657,15.89383226,16.22258004,17.364846,17.57443654,16.55200094,16.75455446,22.18513219,x,16.27366154,x,
RSQ,0.999282339,0.92348705,0.998764873,0.996908952,0.999148048,0.999359936,0.999605489,0.997820305,0.999339929,0.801899655,x,0.999184384,x,
STD,0.429024032,5.015528282,0.569584315,1.201673893,0.443499689,0.36137861,0.480465254,0.941823201,0.724442378,13.39098065,x,0.694084556,x,
,23.5,26.66666667,24,24,24.26666667,24.03333333,24,24.5,24.43333333,24.43333333,x,23.9,x,
,-0.839393939,2.327272727,-0.339393939,-0.339393939,-0.072727273,-0.306060606,-0.339393939,0.160606061,0.093939394,0.093939394,x,-0.439393939,x,
H > Haverage?,1,0,1,0,0,1,1,0,0,1,0,0,x,
Tf > Taverage?,0,1,0,0,0,0,0,1,1,1,0,0,x,
HBOOLE = TfBOOLE,0,0,0,1,1,0,0,0,0,1,1,1,x,
x,x,x,x,x,x,x,x,x,x,x,x,x,x,
,,,,,,,,,,,,,,
